hostname,IP,Interface,Date Time,rxpck/s,txpck/s,rxkB/s,txkB/s
rhel9,192.168.219.209,eth0,2025-11-08 00:10:00,2.22,0.04,0.30,0.01
rhel9,192.168.219.209,eth0,2025-11-08 00:20:00,1.68,0.01,0.19,0.00
rhel9,192.168.219.209,eth0,2025-11-08 00:30:00,1.42,0.02,0.17,0.00
rhel9,192.168.219.209,eth0,2025-11-08 00:40:00,1.41,0.01,0.16,0.00
rhel9,192.168.219.209,eth0,2025-11-08 00:50:00,1.60,0.01,0.17,0.00
rhel9,192.168.219.209,eth0,2025-11-08 01:00:00,1.38,0.02,0.16,0.00
rhel9,192.168.219.209,eth0,2025-11-08 07:04:21,1.46,0.01,0.17,0.00
rhel9,192.168.219.209,eth0,2025-11-08 07:10:00,1.59,0.17,0.17,0.01
rhel9,192.168.219.209,eth0,2025-11-08 07:20:00,192.82,58.93,282.68,3.98
rhel9,192.168.219.209,eth0,2025-11-08 07:30:00,1.21,0.05,0.15,0.00
rhel9,192.168.219.209,eth0,2025-11-08 07:40:00,2.10,0.23,0.43,0.07
rhel9,192.168.219.209,eth0,2025-11-08 07:50:00,1.48,0.04,0.19,0.00
rhel9,192.168.219.209,eth0,2025-11-08 08:00:00,1.13,0.02,0.14,0.00
rhel9,192.168.219.209,eth0,2025-11-08 08:10:00,1.66,0.02,0.25,0.00
rhel9,192.168.219.209,eth0,2025-11-08 08:20:00,1.01,0.02,0.12,0.00
rhel9,192.168.219.209,eth0,2025-11-08 08:30:00,1.82,0.04,0.30,0.01
rhel9,192.168.219.209,eth0,2025-11-08 08:40:00,1.53,0.02,0.22,0.00
rhel9,192.168.219.209,eth0,2025-11-08 08:50:00,1.59,0.02,0.23,0.00
rhel9,192.168.219.209,eth0,2025-11-08 09:00:00,1.82,0.01,0.29,0.00
rhel9,192.168.219.209,eth0,2025-11-08 09:10:00,1.11,0.02,0.13,0.00
rhel9,192.168.219.209,eth0,2025-11-08 09:20:00,2.34,0.01,0.41,0.00
rhel9,192.168.219.209,eth0,2025-11-08 09:30:00,1.10,0.02,0.12,0.00
rhel9,192.168.219.209,eth0,2025-11-08 09:40:00,1.38,0.01,0.19,0.00
rhel9,192.168.219.209,eth0,2025-11-08 09:50:00,1.07,0.01,0.13,0.00
rhel9,192.168.219.209,eth0,2025-11-08 10:00:00,1.57,0.02,0.23,0.00
rhel9,192.168.219.209,eth0,2025-11-08 10:10:00,1.47,0.01,0.22,0.00
rhel9,192.168.219.209,eth0,2025-11-08 10:20:00,1.49,0.12,0.26,0.02
rhel9,192.168.219.209,eth0,2025-11-08 10:30:00,1.50,0.01,0.21,0.00
rhel9,192.168.219.209,eth0,2025-11-08 10:40:00,1.31,0.02,0.17,0.00
rhel9,192.168.219.209,eth0,2025-11-08 10:50:00,1.79,0.02,0.27,0.00
rhel9,192.168.219.209,eth0,2025-11-08 11:00:00,1.14,0.01,0.13,0.00
rhel9,192.168.219.209,eth0,2025-11-08 11:10:00,1.65,0.11,0.25,0.02
rhel9,192.168.219.209,eth0,2025-11-08 11:20:00,1.42,0.27,0.21,0.05
rhel9,192.168.219.209,eth0,2025-11-08 11:30:00,1.73,0.38,0.24,0.08
rhel9,192.168.219.209,eth0,2025-11-08 11:40:00,1.83,0.57,0.39,0.16
rhel9,192.168.219.209,eth0,2025-11-08 11:50:00,1.29,0.02,0.16,0.00
rhel9,192.168.219.209,eth0,2025-11-08 12:00:00,1.33,0.02,0.17,0.00
rhel9,192.168.219.209,eth0,2025-11-08 12:10:00,1.40,0.01,0.16,0.00
rhel9,192.168.219.209,eth0,2025-11-08 12:20:00,1.48,0.02,0.18,0.00
rhel9,192.168.219.209,eth0,2025-11-08 12:30:00,1.44,0.01,0.15,0.00
rhel9,192.168.219.209,eth0,2025-11-08 12:40:00,1.37,0.02,0.18,0.00
rhel9,192.168.219.209,eth0,2025-11-08 12:50:00,1.23,0.01,0.15,0.00
rhel9,192.168.219.209,eth0,2025-11-08 13:00:00,1.30,0.11,0.17,0.02
rhel9,192.168.219.209,eth0,2025-11-08 13:10:00,1.45,0.04,0.18,0.01
rhel9,192.168.219.209,eth0,2025-11-08 13:20:00,1.36,0.01,0.13,0.00
rhel9,192.168.219.209,eth0,2025-11-08 13:30:00,1.36,0.02,0.14,0.00
rhel9,192.168.219.209,eth0,2025-11-08 13:40:00,1.35,0.01,0.14,0.00
rhel9,192.168.219.209,eth0,2025-11-08 13:50:00,1.82,0.14,0.20,0.03
rhel9,192.168.219.209,eth0,2025-11-08 14:00:00,2.05,0.50,0.23,0.06
rhel9,192.168.219.209,eth0,2025-11-08 14:10:00,2.00,0.41,0.25,0.08
rhel9,192.168.219.209,eth0,2025-11-08 14:20:00,1.74,0.29,0.23,0.05
rhel9,192.168.219.209,eth0,2025-11-08 14:30:00,2.53,0.19,0.41,0.03
rhel9,192.168.219.209,eth0,2025-11-08 14:40:00,1.59,0.20,0.21,0.04
rhel9,192.168.219.209,eth0,2025-11-08 14:50:00,1.53,0.15,0.20,0.03
rhel9,192.168.219.209,eth0,2025-11-08 15:00:00,1.46,0.06,0.19,0.01
rhel9,192.168.219.209,eth0,2025-11-08 15:10:00,1.36,0.11,0.23,0.02
rhel9,192.168.219.209,eth0,2025-11-08 15:20:00,1.23,0.01,0.14,0.00
rhel9,192.168.219.209,eth0,2025-11-08 15:30:00,1.23,0.13,0.15,0.02
rhel9,192.168.219.209,eth0,2025-11-08 15:40:00,1.49,0.34,0.30,0.08
rhel9,192.168.219.209,eth0,2025-11-08 15:50:00,1.85,0.21,0.25,0.04
rhel9,192.168.219.209,eth0,2025-11-08 16:00:00,1.63,0.02,0.21,0.00
rhel9,192.168.219.209,eth0,2025-11-08 16:10:00,1.76,0.26,0.23,0.05
rhel9,192.168.219.209,eth0,2025-11-08 16:20:00,1.74,0.15,0.23,0.03
rhel9,192.168.219.209,eth0,2025-11-08 16:30:00,1.90,0.25,0.25,0.04
rhel9,192.168.219.209,eth0,2025-11-08 16:40:00,1.79,0.36,0.23,0.06
rhel9,192.168.219.209,eth0,2025-11-08 16:50:00,2.68,0.05,0.47,0.01
rhel9,192.168.219.209,eth0,2025-11-08 17:00:00,1.49,0.02,0.18,0.00
rhel9,192.168.219.209,eth0,2025-11-08 17:10:00,1.67,0.02,0.21,0.00
rhel9,192.168.219.209,eth0,2025-11-08 17:20:00,1.98,0.01,0.26,0.00
rhel9,192.168.219.209,eth0,2025-11-08 17:30:00,2.04,0.02,0.25,0.00
rhel9,192.168.219.209,eth0,2025-11-08 17:40:00,2.67,0.01,0.40,0.00
rhel9,192.168.219.209,eth0,2025-11-08 17:50:00,2.04,0.02,0.25,0.00
rhel9,192.168.219.209,eth0,2025-11-08 18:00:00,2.14,0.13,0.27,0.03
rhel9,192.168.219.209,eth0,2025-11-08 18:10:00,3.99,0.12,0.64,0.03
rhel9,192.168.219.209,eth0,2025-11-08 18:20:00,2.22,0.36,0.30,0.06
rhel9,192.168.219.209,eth0,2025-11-08 18:30:00,2.07,0.56,0.34,0.13
rhel9,192.168.219.209,eth0,2025-11-08 18:40:00,2.06,0.51,0.28,0.14
rhel9,192.168.219.209,eth0,2025-11-08 18:50:00,2.05,0.61,0.28,0.17
rhel9,192.168.219.209,eth0,2025-11-08 19:00:00,2.33,0.83,0.33,0.23
rhel9,192.168.219.209,eth0,2025-11-08 19:10:00,2.25,1.00,0.31,0.28
rhel9,192.168.219.209,eth0,2025-11-08 Average:,4.09,0.88,3.79,0.08
rhel9,192.168.219.209,LINUX,2025-11-07 18:21:47,0.00,0.00,0.00,0.00
rhel9,192.168.219.209,,2025-11-07 ,0.00,0.00,0.00,0.00
rhel9,192.168.219.209,eth0,2025-11-07 18:40:00,1.15,0.02,0.14,0.00
rhel9,192.168.219.209,eth0,2025-11-07 18:50:00,1.12,0.01,0.14,0.00
rhel9,192.168.219.209,eth0,2025-11-07 19:00:00,1.30,0.02,0.15,0.00
rhel9,192.168.219.209,eth0,2025-11-07 19:10:00,1.11,0.01,0.13,0.00
rhel9,192.168.219.209,eth0,2025-11-07 19:20:00,1.34,0.10,0.24,0.02
rhel9,192.168.219.209,eth0,2025-11-07 19:30:00,1.77,0.02,0.17,0.00
rhel9,192.168.219.209,eth0,2025-11-07 19:40:00,1.76,0.01,0.18,0.00
rhel9,192.168.219.209,eth0,2025-11-07 19:50:00,1.71,0.02,0.17,0.00
rhel9,192.168.219.209,eth0,2025-11-07 20:00:00,1.62,0.01,0.16,0.00
rhel9,192.168.219.209,eth0,2025-11-07 20:10:00,1.90,0.02,0.20,0.00
rhel9,192.168.219.209,eth0,2025-11-07 20:20:00,2.54,0.03,0.31,0.01
rhel9,192.168.219.209,eth0,2025-11-07 20:30:00,2.67,0.02,0.28,0.00
rhel9,192.168.219.209,eth0,2025-11-07 20:40:00,2.26,0.02,0.27,0.00
rhel9,192.168.219.209,eth0,2025-11-07 20:50:00,2.28,0.01,0.27,0.00
rhel9,192.168.219.209,eth0,2025-11-07 21:00:00,2.23,0.02,0.27,0.00
rhel9,192.168.219.209,eth0,2025-11-07 21:10:00,2.02,0.01,0.24,0.00
rhel9,192.168.219.209,eth0,2025-11-07 21:20:00,2.42,0.02,0.27,0.00
rhel9,192.168.219.209,eth0,2025-11-07 21:30:00,2.68,0.01,0.30,0.00
rhel9,192.168.219.209,eth0,2025-11-07 21:40:00,2.50,0.31,0.43,0.28
rhel9,192.168.219.209,eth0,2025-11-07 21:50:00,2.07,0.02,0.27,0.00
rhel9,192.168.219.209,eth0,2025-11-07 22:00:00,1.77,0.01,0.23,0.00
rhel9,192.168.219.209,eth0,2025-11-07 22:10:00,1.62,0.02,0.19,0.00
rhel9,192.168.219.209,eth0,2025-11-07 22:20:00,1.85,0.12,0.30,0.03
rhel9,192.168.219.209,eth0,2025-11-07 22:30:00,1.80,0.02,0.22,0.00
rhel9,192.168.219.209,eth0,2025-11-07 22:40:00,1.73,0.02,0.22,0.00
rhel9,192.168.219.209,eth0,2025-11-07 22:50:00,1.81,0.01,0.22,0.00
rhel9,192.168.219.209,eth0,2025-11-07 23:00:00,1.94,0.02,0.22,0.00
rhel9,192.168.219.209,eth0,2025-11-07 23:10:00,2.28,0.01,0.25,0.00
rhel9,192.168.219.209,eth0,2025-11-07 23:20:00,1.80,0.02,0.22,0.00
rhel9,192.168.219.209,eth0,2025-11-07 23:30:00,1.66,0.01,0.20,0.00
rhel9,192.168.219.209,eth0,2025-11-07 23:40:00,1.67,0.02,0.20,0.00
rhel9,192.168.219.209,eth0,2025-11-07 23:50:00,1.74,0.02,0.21,0.00
rhel9,192.168.219.209,eth0,2025-11-07 Average:,1.88,0.03,0.23,0.01
